label,sentence
0,Ab Bbm7 Db Bbm7 F7 Gb Ab Gb Db Gb Db Gb Ab Gb Db F7 Bbm Gb Ab Db Ab F
0,Bbm Gb Ab Db Ab F Bbm Gb Gbm Ab Db Ab Dbadd9 Db Db Absus4 Bbm7 Gb Db
0,Gb Db Gb Ab Db Absus4 Db Db Db Db Ab Bbm7 Db Db Db Db Bbm7 F7 Gb Ab Gb
0,Bbm7 Bbm7/Eb CM7 Cm7 Fm7 Bbm7 Cm7 Fm7 Fm7 Cm7 Fm7 DbM7 C7 Fm7
0,Fm7 Eb7 AbM7 Bbm7 C7 Fm7 Bbm7 AbM7 Bbm7 AbM7 C7 Fm Fm7/Eb DbM7
0,Bbm7 Cm7 Fm7 Bbm7 Eb7 AbM7 Fm7 Bbm7 Eb7 AbM7 Fm7 Cm7 Fm7 DbM7 C7
0,Fm7 Fm7 Eb7 AbM7 Bbm7 C7 Fm7 Bbm7 AbM7 Bbm7 AbM7 C7 Fm Fm7/Eb
1,EM7 F# G#m EM7 F# G#m EM7 F# G#m EM7 F# G#m C#m D#m G#m F#sus4 EM7
1,F# D#/G G#m F#sus4 EM7 F# D#/G Eadd9 F# G#m7 G#m/B C#m7 Badd9
1,A# D# D# EM7 F# D#m7 G#m B EM7 F#/E D#m7 D#/G G#m C#m7 D#7 G#m F#
1,Fm7-5 EM7 F#sus4 G#sus4 G# C#m D#m7 G#m EM7 F# G#m EM7 F# G#m
0,Db/F Gb Db/F Gb Db/F Gb Db/F Gb Db/F Gb Db/F Gb Db/F Gb Db Db Db/F
0,Gb Db/F Gb Db/F Gb Db Db Gb Db Ebm7 Db Gb Db Ebm7 Ab Db  Ab Gb Db Cb Gb
0,F Eb F Eb Db  Gb Db/F Ebm7 F7/A Bbm7 Bbm7/Ab Gb Db/F Ebm7 Fm Gb Ab
0,Gb Db/F Ebm7 F7/A Bbm7 Bbm7/Ab Gb Db/F Ebm7 Fm Gb Ebm7/Ab Db
1,G G/B C D7 G G/B C D7 G G/B C D7 G G/B C D7 G G/B C Dsus4 B/D# Em Am G/B C
1,D7 G G/B C D7 B/D# Em Eb Dm7 Cm7 D7 C Dsus4 Em C Dsus4 C Dsus4 Em Am7
1,Bm7 C D7 Dm7/G C G/B Am7 Am7/D Em Dm7/G C G/B Am7 D7 G G/B C Dsus4
1,D7 G G/B C Am7/D G G/B C Dsus4 B/D# Em Am G/B C D7 G G/B C D7 B/D# Em
0,AbM7 G7 Cm7 Eb7 Cm7 Bm7 Bbm7 AbM7 G7 Cm7 Eb7 AbM7 G7 Cm7 Eb7 AbM7
0,Bb6 Eb Eb/G AbM7 Bb6 Eb G7 AbM7 G7 Cm7 Eb7 AbM7 G7 Cm7 Eb7 AbM7 G7
0,Cm7 Eb7 AbM7 G7 Cm7 Eb7 AbM7 G7 Cm7 Eb7 AbM7 G7 Cm7 Eb7 AbM7 G7
0,Cm7 Eb7 AbM7 Bb6 Eb Eb/G AbM7 Bb6 Eb G7 AbM7 G7 Cm7 Eb7 AbM7 G7
1,Bm7 F#m7 GM9 DM7 Bm7 F#m7 GM9 DM7 Bm7 F#m7 GM9 DM7 Bm7 F#m7 GM9
1,DM7 Bm7 F#m7 GM9 DM7 Bm7 F#m7 GM9 DM7 Bm7 F#m7 GM9 DM7 Bm7 F#m7
1,GM9 DM7 Bm7 F#m7 GM9 A DM7 DM7 Em7 F#m7 Gm7 Am7 A7 A7 Gadd9 A F#m7
1,Bm7 Gadd9 A Bm7 Bm7/C# Bm7/D Gadd9 A F#7 Bm7 Gadd9 A Bm7 Bm7
1,C#m7 D#7 G#m F#/G# G#m F#/G# G#m G#m F#/G# G#m D#m7/G# F#/E
1,G#m7/E F# F#6 G#m E F# G#m E F# G#m E F# G#m E F# D#7 G#m E C#m F#
1,D#/G G#m E C#m F# D#/G D# E B F# D# G#m G# Fm7-5 C#m7 D#m7 EM7 Fdim
1,D#7 D#7+9 G#m E F# Bsus4 B C#m D#m E F# D#/G G#m E F# Bsus4 B C#m D#
0,Em7-5 EbM7 Am7 Abm7 G7 Gm7 Gm7 EbM7 Fsus4 F Gm7 Gm7 EbM7 Fsus4 F
0,EbM7 Gm7 Gm7 Gm7 EbM7 Gm7 Gm7 Gm7 EbM7 Fsus4 Gm7 Gm7 Gm7 EbM7
0,Fsus4 Gm7 Gm7 Gm7 EbM7 Fsus4 EbM7 Bb/D DbM7 Fsus4 Ebadd9 D7
0,Gm7 Gm7 Fm7 Bb7 EbM7 EbM7 Dsus4 D7 Gm7 Gm7 Fm7 Bb7 EbM7 EbM7
1,D A/C# Bm7 F#m7 G D Em A D A/C# Bm7 F#m7 G D Em A D A/C# Bm7 F#m7 G D Em
1,A D G A F#m7 B7 Em EmM7/D# Em7/D A13 A7 D DM7 Bm7 D G F#7 Bm7 Em Gm A D
1,DM7 Bm7 D G F#7 Bm7 Em Gm A D A/C# Bm7 F#m7 G D Em A D A/C# Bm7 F#m7 G D
1,Em A D A/C# Bm7 F#m7 G D Em A D G A F#m7 B7 Em EmM7/D# Em7/D A13 A7 D
0,EbM7 F Gm EbM7 F Bb D7 EbM7 Gbdim Gm F Cm7 Cm7/F EbM7 Dm7 Cm7 BbM7
0,EbM7 Dm7 Cm7 Cm7/F BbM7 E9b5 EbM7 Dm7 Cm7 BbM7 Cm7 D7 EbM7
0,Cm7/F G CM7 Em7 Asus4 Am7 Dm7 Em7 F G Ab Bb CM7 Em E/G# Am7 Gm7 C F
0,C/E Dm7 Dm7/G Em7b5 A7 A7 Dm7 Dm7/G Em7b5 Ebm7 Cm7 Dm7 EbM7 F Bb
1,F#m7 B Eadd9 Bsus4/D# F#m7 E/G# A Bsus4 E F#m7 B Eadd9
1,Bsus4/D# F#m7 E/G# A Bsus4 E E F#m7 G#m7 A F#m7 G#m7 A AM7 Bsus4
1,Bsus4 C#m7 AM7 Bsus4 E C#m7 AM7 Bsus4 B Esus4 E Eadd9 E C#m7 AM7
1,Bsus4 E Aadd9 Bsus4 Bsus4 C#m7 Aadd9 Bsus4 E C#m7 Aadd9 Bsus4
1,D Em7 F#m Gadd9 D Em7 F#m Gadd9 D Em7 F#m Gadd9 D Em7 F#m Gadd9
1,Em7/A D F#m G Gm F#m Bm Em7 Asus4 A7 D F#m G Gm F#m Bm B7 Em7 A7sus4
1,D Gm7 D/F# Em7-5 D F#7 Bm7 E7 G D/F# Em7 Em7/A Daug/G# G A/G F#m7
1,Bm Bm7/A Em7 F#m7 G C#m7-5 F#7 G A/G F#m7 Bm7 Em7 F#m7 GM7 Gm7 D
1,E F#m7 E/G# G#7 C#m7 F#m7 B Esus4 E E F#m7 E/G# G#7 C#m7 F#m7 B E
1,Esus4/B E F#m7 E/G# G#7 C#m7 F#m7 B Esus4 E E B/D# C#m7 G#m7
1,F#m7 F#m7/B E AM7 G#7 C#m7 F#m7 E/G# A F#m7/B C#m7 G#m7 F#m7
1,F#m7/B E AM7 G#7 C#m7 F#m7 F#m7/B Esus4 E E B/D# C#m7 F#7 B E
1,EM7 F#sus4 B/D# G#m7 C#m7 F# Em6 B G#m7/C# D#m7 EM9 EM7/F#
1,F#/G# G#m7/C# D#m7 EM9 EM7/F# F#/G# G#m7/C# D#m7 EM7/F#
1,F#/G# EM7 D#m7 C#m7 D#m7 G#m7 G#m7/C# D#m7 EM7 EM7/F# F#/G#
1,G#m7/C# D#m7 EM9 EM7/F# F#/G# G#m7/C# D#m7 EM7 EM7/F# G#m11
1,CM7 GM7 B7 Em9 C#7omit5/Eb Am7/D C#m7-5 Cm7 D CM7 GM7 B7 Em9
1,C#7omit5/Eb Am7/D C#m7-5 Cm7 D Am7 Bm7 Em9 Am7 B7 E7 Am7
1,D#dim7 Em7 D#m7 Dm7 G Am7 D7 GM7 G6add9 CM7 D7 Em9 GM7 CM7 B7
1,Bm7/E E7 Eb7 Dm9 C#m7-5 F#7 Cm9 D CM7 D7 Em9 GM7 CM7 B7 Em7 D/F#
0,Bb F Ebadd9 Bb F/A Gm Dm7 Ebadd9 Bb F/A Ebadd9 Bb F/A Gm Dm7
0,Ebadd9 F Bb F/A Ebadd9 Bb F/A Gm Dm7 Ebadd9 F Bb F/Eb Bb/D Gm7
0,Csus4 C/E Fsus4 F Bb Ebadd9 F Gbdim Gm Fm7 Bb EbM7 Em7-5 F6
0,Gbdim Gm Em7-5 Fsus4 F Bb Ebadd9 F Gbdim Gm Fm7 Bb EbM7 D7 Gm
0,Am BbM7 Am BbM7 Am BbM7 Am A7/C# Dm7 C6 A7/C# Dm7 C6 A7/C# Dm
0,Dm7/C BbM7 FM7 Eb Dm F/C E7/B A A7/C# Dm C6 BbM7 Am7 A7/C# Dm C6
0,BbM7 Am7 Bb6 A7 BbM7 A7 A7/C# Dm Dm7/C BbM7 FM7 Eb Dm F/C Bb A7 Dm
0,Dm C Bb Am7 Dm7 G7 Dm C Bb Am7 Dm7 G7 Dm C Bb Am7 Dm7 G7 Bb Am7 A7/C#
1,F#m7 D69 Aadd9 F#m7 D69 Aadd9 AM9 F#m7 D69 AM9 Aadd9 AM9 F#m7
1,D69 AM9 Aadd9 AM9 F#m7 D69 AM9 Aadd9 AM9 F#m7 D69 AM9 Aadd9 AM9
1,F#m7 D69 AM9 Aadd9 AM9 F#m7 D69 AM9 Aadd9 AM9 F#m7 D69 AM9
1,Aadd9 AM9 F#m7 D69 AM9 AM9 Aadd9 F#m7 D69 AM9 Aadd9 AM9 F#m7
1,DM7 D/C# Bm7 F#m7 GM7 F#m7 Em7 A7 A7 DM7 A/C# Bm7 F#m7 G A F#m7
1,Bm7 Em7 C A D A/C# Bm7 F#m7 G A F#m7 Bm7 Em7 A Dsus4 D Em7 A F#m7 Bm7
1,Em7 A# E7 A D D/C# Bm7 F#m7 G A F#m7 Bm7 Em7 Em7/A A D D/C# Bm7 F#m7
1,G A F#m7 Bm7 GM7 F#m7 Em7 A7 DM7 D/C# Bm7 F#m7 GM7 F#m7 Em7 A7 A7
0,Gm Dm/F EbM7 F Bb Gm Dm7 Eb F Gm Gm G Gm F EbM7 Cm Dm Eb F Gm F EbM7 Cm
0,Dm Eb D5 Gm Gm Dm/F Eb F A# F/A Gm Dm/F Eb F Gm Eb F Gm Eb F Gm F Eb F Gm
0,Eb F Gm Gm Gm Dm/F Eb F Bb G/B Cm D7 Gm F Am7-5 Db D5 C5 Bb5 A5 Gm Dm/F
0,Eb F Bb G/B Cm D7 Gm Dm/F Eb F Gm Eb F Gm Gm7 Eb F Gm F EbM7 Cm Dm Eb F Gm
0,Bb Bb/D Eb F Bb Bb/D Eb F Bb Bb Eb F Bb Bb/D Eb F Bb Bb/D Eb F Bb Bb/D
0,Eb F F Bb Bb/D Eb F Bb Bb/D F Eb Dm Eb F/C Bb F/A Gm F Eb Bb/D Cm F Bb
0,F/A Gm F Eb Bb/D Cm F Bb Bb/D Eb F Eb Bb/D F/C Bb Eb F Bb F/A Gm7 Eb F
0,Bb Bb7 Eb F Bb F/A Gm7 Eb F Bb Db F Bb Bb Bb/D Eb F Gm Eb F Eb Dm F/C Bb
1,A/C# D6 A/E Fdim7 C#m7/F# D#m7-5 D6 C#m7 C#m7/F# Gadd9 Esus4
1,E A G#dim F#m E D Dm Em F# Bm C#m D D E F#m7 Bm7 Bm7/E A F G A G F#m F D E A
1,G F#m F Dm G A Aaug/D# DM7 C#7 F#m7 B7 D Bm7/E A Aaug/D# D Em F# Bm E
1,Fdim F#m G D#m7-5 DM7 A Aaug/D# DM7 C#7 F#m7 B7 Bm C#m D E F G
1,C69 Dsus4 Em7 Bm7 CM7 D Em D Em D Em D Em D Em D Em D Em D Em D Em7 Dsus4
1,C69 Dsus4 Em7 D C69 D Em7 Dsus4 C69 Dsus4 Em7 Dsus4 C69 D C69
1,Dsus4 Em7 Bm7 CM7 D Em C69 D Em7 Bm7 C69 D#dim Em D Em D Bm A Bm A C69
1,D D#dim Em7 C69 D Em D Em D Em D Em D Em D Em D Em D Em D Em7 Dsus4 C69
0,Bb Bb Bb Bb Bb Gm Bb F7 Eb Gm F Ab Bb Bb Gm Bb F7 Eb Gm F Ab Bb F7 Bb D7 Gm
0,Cm7 F Bb D7 Gm Eb D7 Cm D7 Gm Cm F Bb Eb Bb Eb Bb Eb Bb F7 Bb Gm Bb F7 Eb
0,Gm F Ab Bb Bb Cm7 F7 Bb Gm Cm7 F7 Bb Eb Bb Eb Bb Eb Bb F7 Bb D7 Gm Cm7 F
0,Bb D7 Eb Ebm F7 Bb D7 Eb Ebm F7 Bb D7 Eb Ebm F7 Bb Bb Bb Bb
0,Db Eb Ab Fm Db Eb Ab Ab Ab Cm Fm Bb7 Db Eb Ab Cm Fm Bb7 Db Eb Ab Ab Db Eb
0,Ab Fm Db Eb Ab Db Eb Ab Fm Bbm C7 Fm Db Eb Ab Fm Db Eb Ab Fm Db Eb Ab Fm
0,Db Eb Ab Db Dbsus4 Db Ab Cm Fm Bb7 Db Eb Ab Cm Fm Bb7 Db Eb Ab Db Eb Ab
0,Fm Db Eb Ab Db Eb Ab Fm Bbm C7 Fm Db Eb Ab Fm Db Eb Ab Fm Db Eb Ab Fm Db
1,D G Asus4 Bm7 D/F# G Asus4 D D G Asus4/B C# D BbM7 C D G A7sus4 Bm7
1,D/F# G Asus4 D D G Asus4/B C# D BbM7 C D G/D D A/C# Bm A G D/F# G A D
1,G/D D A/C# Bm7 A GM7 D/F# G A F#7/A# Bm A/C# D G D/A A F#m7 GM7 A
1,A#dim7 Bm7 G G Asus4 GM7 A/G D A7/D A/C# Bm7 G D/A A C#dim/F# GM7
1,A Aaug/D# DM7 G G G# A Aaug/D# DM7 DM7 A Aaug/D# DM7 G G G# A
1,Aaug/D# DM7 DM7 D6 A Aaug/D# DM7 Bm7 Bm9/E D/E A Aaug/D# DM7
1,Bm7 Bm9/E D/E C#m7 Bm7 D A Bm7 C#m7 D E A Aaug/D# DM7 DM7 D#m7-5
1,C#m7 Bm7 Bm7/E A Aaug/D# DM7 DM7 D#m7-5 C#m7 Bm7 C#m7 DM7 E A A A
1,E B/D# C#m7 E/B A E/G# F#m7 B E E E/B E B/D# C#m7 E/B A E/G# F#m7
1,A/B E B/D# C#m7 E/B A E/G# F#m7 B7 E A/E E E/G# Aadd9 B Cdim C#m /B
1,E/G# Aadd9 B C#m7 B/D# E F#m7/B E D#m7-5 G#7 C#m7 Bm7 E7 AM7
1,E/G# F#m7 A/B B E D#m7-5 G#7 C#m7 Bm7 E7 AM7 E/G# F#m7 A/B E E
0,C# C# C# C# F#M7 F#M7 F#M7 F#M7 C# C# C# C# F#M7 F#M7 F#M7 F#M7 G#
0,F# C# A#m7 G# F# C# A#m7 G# F# C#/F F# G# D#m C#/F F# C#/G# A#m7
0,C#/F F# A#m7 G# C#/F F# D#m C#/F F# F# C#/F F# C# A#m7 G# F# C#
0,A#m7 G# F# C#/F F# G# D#m C#/F F# C#/G# A#m7 C#/F F# A#m7 G# C#/F
1,B B G#m E D#m E B G#m E D#m E E D#m E G#m C# F# B G#m E F# E D#m G#m B B B
1,G#m E D#m E B G#m E D#m E E D#m E G#m C# F# B G#m E F# E D#m G#m B B G#m E
1,D#m E B G#m E D#m E E D#m E G#m C# F# B G#m E F# E D#m G#m B B 単音B B G# F#
1,D# C# B C# B B
1,Eadd9 G#m A B A B/G# E G#m A B E E/G# A B E E/G# A B E G# C#m B6 F#/A# F#
1,A B G#m C# F#m F#/A# Bsus4 E G# C#m B F#/A# F# A B G#m C# F#m B E B E
1,G#m A F#/A# Bsus4 B E G#m A B E A B G#m C#m A B G#m C#m A B G#m C#m A B E E
1,E/G# A B E E/G# A B E G# C#m B6 F#/A# F# A B G#m C# F#m F#/A# Bsus4 E
1,A Dm/A A D/A E/A A Dm/A A D/A E/A D/E A C#m7 D C#m Bm G F#m E A C#m7 D E
1,A Dm/A A D/A E/A A Dm/A A D/A E/A A C#m7 Bm7 G9 Bm7 E7sus4 A C#m7
1,Bm7 E E D# D E7/D C#m7 F#m7 Bm7 Dm7 E A C#m7 D C#m Bm G F#m E A C#m7 D E
1,A A E/G# F#m A A E/G# F#m D E A F#m D E7 A Dm/A A D/A E/A A Dm/A A D/A
0,Gb Db Ab Bbm7 Gb Db Ab/F Adim Bbm7 Gb Db Ab/F Adim Bbm7 Gb Db Ab
0,Dbsus4/Gb Dbsus4/Gb Gb Db Ab Bbm7 Gb Db Ab/F Adim Bbm7 Gb Db
0,Ab/F Adim Bbm7 Gbadd9 Db Ab Db Dbsus4/Ab Db Ebm7 Db/F Gb Ab
